original affiliation,alias
CUNY-BARUCH COLLEGE,"CUNY, BARUCH COLLEGE"
"CUNY, BARUCH COLLEGE","CUNY, BARUCH COLLEGE"
"CUNY, BROOKLYN COLLEGE","CUNY, BROOKLYN COLLEGE"
"CUNY, CITY COLLEGE","CUNY, CITY COLLEGE"
"CUNY, HUNTER COLLEGE","CUNY, HUNTER COLLEGE"
"CUNY, QUEENS COLLEGE","CUNY, QUEENS COLLEGE"
CURTIN UNIVERSITY,CURTIN UNIVERSITY OF TECHNOLOGY
CURTIN UNIVERSITY OF TECHNOLOGY,CURTIN UNIVERSITY OF TECHNOLOGY
CYPRUS,UNIVERSITY OF CYPRUS
CZECH NATIONAL BANK,CZECH NATIONAL BANK
D-FINE GMBH,D-FINE GMBH
DA YEH UNIVERSITY,DA YEH UNIVERSITY
DAI-ICHI LIFE,DAI-ICHI LIFE
DAIWA SECURITIES,DAIWA SECURITIES
DALARNA UNIVERSITY,DALARNA UNIVERSITY
DALHOUSIE UNIVERSITY,DALHOUSIE UNIVERSITY
DALHOUSIE UNIVERSITY SCHOOL OF BUSINESS ADMINISTRATION,DALHOUSIE UNIVERSITY
DALLAS FEDERAL RESERVE,FEDERAL RESERVE BANK OF DALLAS
DANISH CENTER FOR ACCOUNTING AND FINANCE,AARHUS UNIVERSITY
DANISH DOCTORAL SCHOOL OF FINANCE,DANISH DOCTORAL SCHOOL OF FINANCE
DANISH NATIONAL BANK,DANMARKS NATIONALBANK
DANISH RESEARCH UNIT FOR INDUSTRIAL DYNAMICS,DANISH RESEARCH UNIT FOR INDUSTRIAL DYNAMIC
DANKOOK UNIVERSITY,DANKOOK UNIVERSITY
DANMARKS NATIONALBANK,DANMARKS NATIONALBANK
DARDEN,UNIVERSITY OF VIRGINIA
DARDEN BUSINESS SCHOOL,UNIVERSITY OF VIRGINIA
DARDEN GRADUATE SCHOOL OF BUSINESS ADMINISTRATION,UNIVERSITY OF VIRGINIA
DARDEN GRADUATE SCHOOL OF BUSINESS ADMINISTRATION UNIVERSITY OF VIRGINIA,UNIVERSITY OF VIRGINIA
DARDEN GRADUATE SCHOOL OF BUSINESS UNIVERSITY OF VIRGINIA,UNIVERSITY OF VIRGINIA
DARDEN SCHOOL,UNIVERSITY OF VIRGINIA
DARDEN SCHOOL (UNIVERSITY OF VIRGINIA),UNIVERSITY OF VIRGINIA
DARDEN SCHOOL OF BUSINESS,UNIVERSITY OF VIRGINIA
DARDEN SCHOOL OF BUSINESS ADMINISTRATION UNIVERSITY OF VIRGINIA,UNIVERSITY OF VIRGINIA
DARDEN SCHOOL OF BUSINESS UNIVERSITY OF VIRGINIA,UNIVERSITY OF VIRGINIA
DARDEN SCHOOL UNIVERSITY OF VIRGINIA,UNIVERSITY OF VIRGINIA
DARLA MOORE SCHOOL OF BUSINESS COLLEGE OF BUSINESS ADMINISTRATION UNIVERSITY OF SOUTH CAROLINA,UNIVERSITY OF SOUTH CAROLINA
DARLA MOORE SCHOOL OF BUSINESS THE UNIVERSITY OF SOUTH CAROLINA,UNIVERSITY OF SOUTH CAROLINA
DARLA MOORE SCHOOL OF BUSINESS UNIVERSITY OF SOUTH CAROLINA,UNIVERSITY OF SOUTH CAROLINA
DARTMOUTH,DARTMOUTH COLLEGE
DARTMOUTH (TUCK),DARTMOUTH COLLEGE
DARTMOUTH COLLEGE,DARTMOUTH COLLEGE
DARTMOUTH COLLEGE (TUCK),DARTMOUTH COLLEGE
DARTMOUTH COLLEGE TUCK SCHOOL,DARTMOUTH COLLEGE
DARTMOUTH COLLLEGE TUCK SCHOOL OF BUSINESS,DARTMOUTH COLLEGE
DARTMOUTH ECONOMICS DEPARTMENT,DARTMOUTH COLLEGE
DARTMOUTH SOCIAL PSYCHOLOGY RESEARCH INTEREST GROUP,DARTMOUTH COLLEGE
DARTMOUTH TUCK SCHOOL,DARTMOUTH COLLEGE
DARTMOUTH UNIVERSITY,DARTMOUTH COLLEGE
DARTMOUTH UNIVERSITY (TUCK),DARTMOUTH COLLEGE
DARTMOUTH/TUCK,DARTMOUTH COLLEGE
DAUPHINE,UNIVERSITY OF PARIS IX
DAVID A TEPPER SCHOOL OF BUSINESS AT CARNEGIE MELLON UNIVERSITY,CARNEGIE MELLON UNIVERSITY
DAVID ECCLES SCHOOL OF BUSINESS AND INSTITUTE FOR PUBLIC AND INTERNATIONAL AFFAIRS UNIVERSITY OF UTAH,UNIVERSITY OF UTAH
DAVID ECCLES SCHOOL OF BUSINESS THE UNIVERSITY OF UTAH,UNIVERSITY OF UTAH
DAVID ECCLES SCHOOL OF BUSINESS UNIVERSITY OF UTAH,UNIVERSITY OF UTAH
DAVID R CHERITON SCHOOL OF COMPUTER SCIENCE UNIVERSITY OF WATERLOO,UNIVERSITY OF WATERLOO
DAVIDSON INSTITUTE,UNIVERSITY OF MICHIGAN
DAVIDSON INSTITUTE UNIVERSITY OF MICHIGAN BUSINESS SCHOOL,UNIVERSITY OF MICHIGAN
DAVIS,"UNIVERSITY OF CALIFORNIA, DAVIS"
DC,INTERDISCIPLINARY CENTER HERZLIYA
DCU BUSINESS SCHOOL,DUBLIN CITY COLLEGE
DE LA SALLE UNIVERSITY,LA SALLE UNIVERSITY
DE NEDERLANDSCHE BANK,DE NEDERLANDSCHE BANK
DE NEDERLANDSCHE BANK (DNB) STRATEGY DEPARTMENT,DE NEDERLANDSCHE BANK
DE NEDERLANDSCHE BANK ECONOMICS AND RESEARCH DIVISION,DE NEDERLANDSCHE BANK
DE NEDERLANDSCHE BANK FINANCIAL STABILITY DIVISION,DE NEDERLANDSCHE BANK
DE NEDERLANDSCHE BANK SECTION BANKING AND SUPERVISORY STRATEGIES,DE NEDERLANDSCHE BANK
DE NEDERLANDSCHE BANK SUPERVISORY POLICY DIVISION,DE NEDERLANDSCHE BANK
DE PAUL UNIVERSITY,DEPAUL UNIVERSITY
DE WINDHORST,-
DEAKIN UNIVERSITY,DEAKIN UNIVERSITY
DECISION SCIENCES CONSORTIUM,DECISION SCIENCES CONSORTIUM
DEEP HEC UNIVERSITY OF LAUSANNE,UNIVERSITY OF LAUSANNE
DEEP UNIVERSITE DE LAUSANNE,UNIVERSITY OF LAUSANNE
DEFI UNIVERSITE DE LA MEDITERRANNEE,UNIVERSITY DE LA MEDITERRANEE AIX-MARSEILLE
DEFI UNIVERSITY OF AIX-MARSEILLE,UNIVERSITY DE LA MEDITERRANEE AIX-MARSEILLE
DEGROOTE SCHOOL OF BUSINESS MCMASTER UNIVERSITY,MCMASTER UNIVERSITY
DEGROOTE SCHOOL OF BUSINESS MCMASTER UNIVERSITY HAMILTON,MCMASTER UNIVERSITY
DEIR UNIVERSITY OF SASSARI,UNIVERSITY OF SASSARI
DELAWARE,UNIVERSITY OF DELAWARE
DELFT UNIVERSITY OF TECHNOLOGY,DELFT UNIVERSITY OF TECHNOLOGY
DELHI SCHOOL OF ECONOMICS,UNIVERSITY OF DELHI
DELOITTE & TOUCHE,DELOITTE
DELOITTE AG,DELOITTE
DELOITTE AG GENERAL-GUISAN-QUA,DELOITTE
DELOITTE AND TOUCHE,DELOITTE
DELOITTE BELGIUM,DELOITTE BELGIUM
DELOITTE LUXEMBOURG,DELOITTE LUXEMBOURG
DELOITTE TAIWAN,DELOITTE
DELTA,DELTA ECONOMICS
DELTA ECOLE DES HAUTES ETUDES EN SCIENCES SOCIALES PARIS,HEC PARIS
DEMS-SAMIC BANQUE DE FRANCE,BANQUE DE FRANCE
DEP DE ECONOM A DE LA EMPRESA UNIVERSIDAD CARLOS III DE MADRID,UNIVERSITY CARLOS III MADRID
DEPARTAMENT D'ECONOMIA FACULTAT DE CIENCIES ECONOMIQUES I EMPRESARIALS UNIVERSITAT ROVIRA I VIRGILI,ROVIRA I VIRGILI UNIVERSITY
DEPARTAMENT D'ECONOMIA I HISTORIA ECONOMICA UNIVERSITAT AUTONOMA DE BARCELONA,UNIVERSITY AUTONOMA BARCELONA
DEPARTAMENT OF ECONOMICS UNIVERSIDADE CATOLICA DE BRASILIA,UNIVERSIDADE CATOLICA DE BRASILIA
DEPARTAMENT OF ECONOMICS UNIVERSIDADE DE BRASILIA FACE,UNIVERSITY OF BRASILIA
DEPARTAMENTO DE ADMINISTRACION INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO,INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO
DEPARTAMENTO DE ANALISIS ECONOMICO EDIFICIO DEPARTAMENTAL ORIENTAL UNIVERSITAT DE VALENCIA,UNIVERSITY OF VALENCIA
DEPARTAMENTO DE ANALISIS ECONOMICO UNIVERSIDAD DE VALENCIA,UNIVERSITY OF VALENCIA
DEPARTAMENTO DE ANALISIS ECONOMICO Y FINANZAS UNIVERSIDAD DE CASTILLA-LA MANCHA FACULTAD DE CC ECONOMICAS Y EMPRESARIALES DE ALBACETE,UNIVERSITY OF CASTILLA-LA MANCHA
DEPARTAMENTO DE ECONOM A APLICADA UNIVERSIDAD DE MURCIA,UNIVERSITY OF MURCIA
DEPARTAMENTO DE ECONOM A APLICADA UNIVERSIDAD DE MURCIA CAMPUS DE ESPINARDO,UNIVERSITY OF MURCIA
DEPARTAMENTO DE ECONOM A CUANTITATIVA UNIVERSIDAD COMPLUTENSE,UNIVERSITY COMPLUTENSE MADRID
DEPARTAMENTO DE ECONOM A UNIVERSIDAD DE OVIEDO,UNIVERSITY OF OVIEDO
DEPARTAMENTO DE ECONOMA DE LA EMPRESA FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES UNIVERSIDAD CARLOS III,UNIVERSITY CARLOS III MADRID
DEPARTAMENTO DE ECONOMIA APLICADA III (ECONOMETRIA Y ESTADISTICA) UNIVERSITY OF THE BASQUE COUNTRY,UNIVERSITY OF THE BASQUE COUNTRY/PAIS VASCO
DEPARTAMENTO DE ECONOMIA APLICADA UNIVERSIDAD DE MURCIA,UNIVERSITY OF MURCIA
DEPARTAMENTO DE ECONOMIA DE LA EMPRESA UNIVERSIDAD CARLOS III DE MADRID,UNIVERSITY CARLOS III MADRID
DEPARTAMENTO DE ECONOMIA UNIVERSIDAD CARLOS III DE MADRID,UNIVERSITY CARLOS III MADRID
DEPARTAMENTO DE ECONOMIA UNIVERSIDAD PUBLICA DE NAVARRA,UNIVERSITY OF NAVARRA
DEPARTAMENTO DE ECONOMIA Y EMPRESA UNIVERSIDAD DE LAS ISLAS BALEARES,UNIVERSITY OF THE BALEARIC ISLANDS
DEPARTAMENTO DE FINANZAS Y CONTABILIDAD UNIVERSIDAD DE MALAGA,JAUME I UNIVERSITY
DEPARTAMENTO DE FINANZAS Y CONTABILIDAD UNIVERSIDAD JAUME I,JAUME I UNIVERSITY
DEPARTAMENTO DE FUNDAMENTOS DEL ANALISIS ECONOMICO FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES UNIVERSIDAD DEL PAIS VASCO,UNIVERSITY OF THE BASQUE COUNTRY/PAIS VASCO
DEPARTAMENTO DE TEORIA E HISTORIA ECONOMICA FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES UNIVERSIDAD DE GRANADA,UNIVERSITY OF GRANADA
DEPARTAMENTO DE TEORIA E HISTORIA ECONOMICA UNIVERSIDAD DE GRANADA,UNIVERSITY OF GRANADA
DEPARTAMENTO DE TEOROA E HISTORIA ECONOMICA UNIVERSIDAD DE MALAGA,UNIVERSITY OF MALAGA
DEPARTAMENTO ECONOMIA APLICADA Y POLITICA ECONOMICA UNIVERSITY OF ALICANTE,UNIVERSITY OF ALICANTE
DEPARTEMENT D'ECONOMETRIE ET D'ECONOMIE POLITIQUE UNIVERSITE DE LAUSANNE,UNIVERSITY OF LAUSANNE
DEPARTEMENT DE SCIENCES ECONOMIQUES UNIVERSITE DE MONTREAL,UNIVERSITY OF MONTREAL
DEPARTEMENT DES SCIENCES ECONOMIQUES ESG UNIVERSITE DU QUEBEC A MONTREAL,UNIVERSITY OF MONTREAL
DEPARTEMENT OF FINANCE CENTER - TILBURG UNIVERSITY,TILBURG UNIVERSITY
DEPARTMENT ECONOMIC THEORY UNIVERSITY OF MANNHEIM,UNIVERSITY OF MANNHEIM
DEPARTMENT ECONOMICS UNIVERSITY OF MICHIGAN,UNIVERSITY OF MICHIGAN
DEPARTMENT FINANCIAL MANAGEMENT RSM ERASMUS UNIVERSITY,ERASMUS UNIVERSITY ROTTERDAM
DEPARTMENT IN MATHEMATICAL FINANCE UNIVERSITY OF MILANO BICOCCA,UNIVERSITY OF MILANO-BICOCCA
DEPARTMENT INTERNATIONAL FINANCIAL MARKETS AND FINANCIAL MANAGEMENT CENTRE FOR EUROPEAN ECONOMIC RESEARCH (ZEW),ZENTRUM FUER EUROPAEISCHE WIRTSCHAFTSFORSCHUNG
DEPARTMENT MSIA UNIVERSITY OF BERGAMO,UNIVERSITY OF BERGAMO
DEPARTMENT OD ACCOUNTING AND FINANCE COLLEGE OF MANAGEMENT UNIVERSITY OF MASSACHUSETTS,"UNIVERSITY OF MASSACHUSETTS, LOWELL"
DEPARTMENT OF ACCOUNTANCY AND GRADUATE INSTITUTE OF FINANCE AND BANKING NATIONAL CHENG KUNG UNIVERSITY,NATIONAL CHENG KUNG UNIVERSITY
DEPARTMENT OF ACCOUNTANCY AND LAW HONG KONG BAPTIST UNIVERSITY,HONG KONG BAPTIST UNIVERSITY
DEPARTMENT OF ACCOUNTANCY CITY UNIVERSITY OF HONG KONG,CITY UNIVERSITY HONG KONG
DEPARTMENT OF ACCOUNTANCY COLLEGE OF BUSINESS CITY UNIVERSITY OF HONG KONG,CITY UNIVERSITY HONG KONG
DEPARTMENT OF ACCOUNTANCY FACULTY OF BUSINESS CITY UNIVERSITY OF HONG KONG,CITY UNIVERSITY HONG KONG
DEPARTMENT OF ACCOUNTANCY HONG KONG PLOYTECHNIC UNIVERSITY,HONG KONG POLYTECH UNIVERSITY
DEPARTMENT OF ACCOUNTANCY HONG KONG POLYTECHNIC UNIVERSITY,HONG KONG POLYTECH UNIVERSITY
DEPARTMENT OF ACCOUNTANCY HONG KONG POLYTECHNIC UNIVERSITY FACULTY OF BUSINESS AND INFORMATION SYSTEMS,HONG KONG POLYTECH UNIVERSITY
DEPARTMENT OF ACCOUNTANCY THE HONG KONG POLYTECHNIC UNIVERSITY,HONG KONG POLYTECH UNIVERSITY
DEPARTMENT OF ACCOUNTANCY THE HONG KONG POLYTECHNIC UNIVERSITY FACULTY OF BUSINESS AND INFORMATION SYSTEMS,HONG KONG POLYTECH UNIVERSITY
DEPARTMENT OF ACCOUNTANCY UNIVERSITY COLLEGE DUBLIN,UNIVERSITY COLLEGE DUBLIN
DEPARTMENT OF ACCOUNTING & FINANCE LANCASTER UNIVERSITY,LANCASTER UNIVERSITY
DEPARTMENT OF ACCOUNTING AND BUSINESS LAW TEXAS A&M UNIVERSITY,TEXAS A&M UNIVERSITY
DEPARTMENT OF ACCOUNTING AND FINACE UNIVERSITY OF MASSACHUSETTS,UNIVERSITY MASSACHUSETTS
DEPARTMENT OF ACCOUNTING AND FINANCE AND FINANCIAL MARKETS GROUP LONDON SCHOOL OF ECONOMICS,LONDON SCHOOL OF ECONOMICS
DEPARTMENT OF ACCOUNTING AND FINANCIAL SERVICES LONDON GUILDHALL UNIVERSITY,LONDON GUILDHALL UNIVERSITY
DEPARTMENT OF ACCOUNTING AND MANAGEMENT INFORMATION SYSTEMS SCHOOL OF BUSINESS UNIVERSITY OF ALBERTA,UNIVERSITY OF ALBERTA
DEPARTMENT OF ACCOUNTING AT VIRGINIA TECH,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY
DEPARTMENT OF ACCOUNTING COLLEGE OF BUSINESS AND PUBLIC ADMINISTRATION OLD DOMINION UNIVERSITY,OLD DOMINION UNIVERSITY
DEPARTMENT OF ACCOUNTING ECONOMICS AND FINANCE TEXAS A&M INTERNATIONAL UNIVERSITY,TEXAS A&M UNIVERSITY
DEPARTMENT OF ACCOUNTING FINANCE AND LAW FACULTY OF MANAGEMENT UNIVERSITY OF STIRLING,UNIVERSITY OF STIRLING
DEPARTMENT OF ACCOUNTING FINANCE AND LAW UNIVERSITY OF STIRLING,UNIVERSITY OF STIRLING
DEPARTMENT OF ACCOUNTING FINANCE AND LOGISTICS AARHUS SCHOOL OF BUSINESS,AARHUS UNIVERSITY
DEPARTMENT OF ACCOUNTING FINANCE AND MANAGEMENT ESSEX UNIVERSITY,UNIVERSITY OF ESSEX
DEPARTMENT OF ACCOUNTING FINANCE AND MANAGEMENT UNIVERSITY OF ESSEX,UNIVERSITY OF ESSEX
DEPARTMENT OF ACCOUNTING FINANCE AND MIS PRAIRIE VIEW A&M UNIVERSITY,PRAIRIE VIEW A&M UNIVERSITY
DEPARTMENT OF ACCOUNTING FOX SCHOOL OF BUSINESS AND MANAGEMENT TEMPLE UNIVERSITY,TEMPLE UNIVERSITY
DEPARTMENT OF ACCOUNTING HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY
DEPARTMENT OF ACCOUNTING INFORMATION NATIONAL TAIPEI COLLEGE OF BUSINESS,NATIONAL TAIPEI UNIVERSITY
DEPARTMENT OF ACCOUNTING KYUNGHEE UNIVERSITY,KYUNG HEE UNIVERSITY
DEPARTMENT OF ACCOUNTING LEBOW COLLEGE OF BUSINESS DREXEL UNIVERSITY,DREXEL UNIVERSITY
DEPARTMENT OF ACCOUNTING LOUISIANA STATE UNIVERSITY,LOUISIANA STATE UNIVERSITY
DEPARTMENT OF ACCOUNTING SANTA CLARA UNIVERSITY,SANTA CLARA UNIVERSITY
DEPARTMENT OF ACCOUNTING SCHOOL OF BUSINESS SUN YAT-SEN UNIVERSITY,NATIONAL SUN YAT SEN UNIVERSITY
DEPARTMENT OF ACCOUNTING UNIVERSITY OF GRONINGEN,UNIVERSITY OF GRONINGEN
DEPARTMENT OF ACCOUNTING UNIVERSITY OF OULU,UNIVERSITY OF OULU
DEPARTMENT OF AGRICULTURAL AND CONSUMER ECONOMICS UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN"
DEPARTMENT OF AGRICULTURAL AND RESOURCE ECONOMICS NORTH CAROLINA STATE UNIVERSITY,NORTH CAROLINA STATE UNIVERSITY
DEPARTMENT OF AGRICULTURAL AND RESOURCE ECONOMICS UNIVERSITY OF MARYLAND COLLEGE PARK,UNIVERSITY OF MARYLAND
DEPARTMENT OF AGRICULTURAL ECONOMICS AND RURAL SOCIOLOGY AUBURN UNIVERSITY,AUBURN UNIVERSITY
DEPARTMENT OF APPLIED ECONOMICS CATHOLIC UNIVERSITY LEUVEN,KATHOLIEKE UNIVERSITEIT LEUVEN
DEPARTMENT OF APPLIED ECONOMICS KATHOLIEKE UNIVERSITEIT LEUVEN,KATHOLIEKE UNIVERSITEIT LEUVEN
DEPARTMENT OF APPLIED ECONOMICS UNIVERSITY OF CAMBRIDGE,UNIVERSITY OF CAMBRIDGE
DEPARTMENT OF APPLIED MATHEMATICS & STATISTICS STONY BROOK UNIVERSITY SUNY,"SUNY, STONY BROOK"
DEPARTMENT OF APPLIED MATHEMATICS AND STATISTICS UNIVERSITY OF COPENHAGEN,UNIVERSITY OF COPENHAGEN
DEPARTMENT OF APPLIED MATHEMATICS RESEARCH SCHOOL OF PHYSICAL SCIENCES AUSTRALIAN NATIONAL UNIVERSITY,AUSTRALIAN NATIONAL UNIVERSITY
DEPARTMENT OF BANKING & FINANCE WEATHERHEAD SCHOOL OF MANAGEMENT,WEATHERHEAD SCHOOL OF MANAGEMENT
DEPARTMENT OF BANKING AND FINANCE CASS BUSINESS SCHOOL CITY UNIVERSITY,CITY UNIVERSITY LONDON
DEPARTMENT OF BANKING AND FINANCE CITY UNIVERSITY BUSINESS SCHOOL,CITY UNIVERSITY LONDON
DEPARTMENT OF BANKING AND FINANCE COLLEGE OF MANAGEMENT NATIONAL CHI-NAN UNIVERSITY,NATIONAL CHI NAN UNIVERSITY
DEPARTMENT OF BANKING AND FINANCE FACULTY OF COMMERCE AND ACCOUNTANCY CHULALONGKORN UNIVERSITY,CHULALONGKORN UNIVERSITY
DEPARTMENT OF BANKING AND FINANCE GRADUATE SCHOOL OF BUSINESS UNIVERSITY COLLEGE DUBLIN,UNIVERSITY COLLEGE DUBLIN
DEPARTMENT OF BANKING AND FINANCE INNSBRUCK UNIVERSITY,UNIVERSITY OF INNSBRUCK
DEPARTMENT OF BANKING AND FINANCE JOHANN WOLFGANG GOETHE UNIVERSITY,UNIVERSITY OF FRANKFURT
DEPARTMENT OF BANKING AND FINANCE NANYANG TECHNOLOGICAL UNIVERSITY,NANYANG TECHNOLOGICAL UNIVERSITY
DEPARTMENT OF BANKING AND FINANCE NATIONAL CHI NAN UNIVERSITY,NATIONAL CHI NAN UNIVERSITY
DEPARTMENT OF BANKING AND FINANCE NATIONAL CHI-NAN UNIVERSITY,NATIONAL CHI NAN UNIVERSITY
DEPARTMENT OF BANKING AND FINANCE TAKMING UNIVERSITY OF SCIENCE AND TECHNOLOGY,TAKMING UNIVERSITY OF SCIENCE AND TECHNOLOGY
DEPARTMENT OF BANKING AND FINANCE TERRY COLLEGE OF BUSINESS THE UNIVERSITY OF GEORGIA,UNIVERSITY OF GEORGIA
DEPARTMENT OF BANKING AND FINANCE TERRY COLLEGE OF BUSINESS UNIVERSITY OF GEORGIA,UNIVERSITY OF GEORGIA
DEPARTMENT OF BANKING AND FINANCE UNIVERSITY OF MANNHEIM,UNIVERSITY OF MANNHEIM
DEPARTMENT OF BANKING AND FINANCE WEATHERHEAD SCHOOL OF MANAGEMENT CASE WESTERN RESERVE UNIVERSITY,CASE WESTERN RESERVE UNIVERSITY
DEPARTMENT OF BANKING AND FINANCIAL MANAGEMENT UNIVERSITY OF PIRAEUS,UNIVERSITY OF PIRAEUS
DEPARTMENT OF BANKING UNIVERSITY OF COLOGNE,UNIVERSITY OF COLOGNE
DEPARTMENT OF BANKING UNIVERSITY OF TUBINGEN,UNIVERSITY OF TUEBINGEN
DEPARTMENT OF BANKING UNIVERSITY OF TUEBINGEN,UNIVERSITY OF TUEBINGEN
DEPARTMENT OF BIOSTATISTICS UNIVERSITY OF COPENHAGEN,UNIVERSITY OF COPENHAGEN
DEPARTMENT OF BUSINESS ACCOUNTING AND ECONOMICS NEBRASKA WESLEYAN UNIVERSITY,NEBRASKA WESLEYAN UNIVERSITY
DEPARTMENT OF BUSINESS ADMINISTRATION AND FINANCIAL MANAGEMENT ERASMUS UNIVERSITY ROTTERDAM,ERASMUS UNIVERSITY ROTTERDAM
DEPARTMENT OF BUSINESS ADMINISTRATION ATHENS UNIVERSITY OF ECONOMICS AND BUSINE,ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS
DEPARTMENT OF BUSINESS ADMINISTRATION CARLOS III UNIVERSITY OF MADRID,UNIVERSITY CARLOS III MADRID
DEPARTMENT OF BUSINESS ADMINISTRATION HANYANG UNIVERSITY,HANYANG UNIVERSITY
DEPARTMENT OF BUSINESS ADMINISTRATION MIDDLE EAST TECHNICAL UNIVERSITY,MIDDLE EAST TECHNICAL UNIVERSITY
DEPARTMENT OF BUSINESS ADMINISTRATION NATIONAL CENTRAL UNIVERSITY,NATIONAL CENTRAL UNIVERSITY
DEPARTMENT OF BUSINESS ADMINISTRATION OF AJOU UNIVERSITY KOREA,AJOU UNIVERSITY
DEPARTMENT OF BUSINESS ADMINISTRATION PABLO DE OLAVIDE UNIVERSITY,PABLO DE OLAVIDE UNIVERSITY
DEPARTMENT OF BUSINESS ADMINISTRATION THE UNIVERSITY OF SEOUL,UNIVERSITY OF SEOUL
DEPARTMENT OF BUSINESS ADMINISTRATION TILBURG UNIVERSITY,TILBURG UNIVERSITY
DEPARTMENT OF BUSINESS ADMINISTRATION UNIVERSIDAD CARLOS III DE MADRID,UNIVERSITY CARLOS III MADRID
DEPARTMENT OF BUSINESS ADMINISTRATION UNIVERSITY CARLOS III,UNIVERSITY CARLOS III MADRID
DEPARTMENT OF BUSINESS ADMINISTRATION UNIVERSITY OF ALASKA ANCHORAGE,UNIVERSITY OF ALASKA
DEPARTMENT OF BUSINESS ADMINISTRATION UNIVERSITY OF NAMUR,UNIVERSITY OF NAMUR
DEPARTMENT OF BUSINESS ADMINISTRATION UNIVERSITY OF SEOUL,UNIVERSITY OF SEOUL
DEPARTMENT OF BUSINESS AND ECONOMICS PENN STATE UNIVERSITY,PENNSYLVANIA STATE UNIVERSITY
DEPARTMENT OF BUSINESS AND ECONOMICS UNIVERSITY OF BASEL,UNIVERSITY OF BASEL
DEPARTMENT OF BUSINESS AND ECONOMICS UNIVERSITY OF SOUTHERN DENMARK,UNIVERSITY OF SOUTHERN DENMARK
DEPARTMENT OF BUSINESS AND ECONOMICS WHEATON COLLEGE,WHEATON COLLEGE
DEPARTMENT OF BUSINESS ECONOMICS NORWEGIAN SCHOOL OF MANAGEMENT,BI NORWEGIAN BUSINESS SCHOOL
DEPARTMENT OF BUSINESS MANAGEMENT NATIONAL SUN YAT-SEN UNIVERSITY,NATIONAL SUN YAT SEN UNIVERSITY
DEPARTMENT OF BUSINESS ORGANIZATIONS AND SOCIETY FRANKLIN & MARSHALL COLLEGE,FRANKLIN AND MARSHALL COLLEGE
DEPARTMENT OF BUSINESS POLICY FACULTY OF BUSINESS ADMINISTRATION NATIONAL UNIVERSITY OF SINGAPORE,NATIONAL UNIVERSITY OF SINGAPORE
DEPARTMENT OF BUSINESS STATISTICS AND ECONOMETRICS PEKING UNIVERSITY,PEKING UNIVERSITY
DEPARTMENT OF BUSINESS STRATEGY UNIVERSITY OF QUEBEC IN MONTREAL,UNIVERSITY OF QUEBEC
DEPARTMENT OF BUSINESS STUDIES HONG KONG POLYTECHNIC UNIVERSITY,HONG KONG POLYTECH UNIVERSITY
DEPARTMENT OF BUSINESS STUDIES UNIVERSITY OF VIENNA,UNIVERSITY OF VIENNA
DEPARTMENT OF BUSINESS TECHNOLOGY HELSINKI SCHOOL OF ECONOMICS,AALTO UNIVERSITY
DEPARTMENT OF COMMERCE COLLEGE OF BUSINESS MASSEY UNIVERSITY,MASSEY UNIVERSITY
DEPARTMENT OF COMMERCE FINANCE AND SHIPPING CYPRUS UNIVERSITY OF TECHNOLOGY,CYPRUS UNIVERSITY OF TECHNOLOGY
DEPARTMENT OF COMMERCE MASSEY UNIVERSITY,MASSEY UNIVERSITY
DEPARTMENT OF COMMERCE MASSEY UNIVERSITY (ALBANY),MASSEY UNIVERSITY
DEPARTMENT OF COMMERCE THE UNIVERSITY OF QUEENSLAND,UNIVERSITY OF QUEENSLAND
DEPARTMENT OF COMMERCE UNIVERSITY OF QUEENSLAND,UNIVERSITY OF QUEENSLAND
DEPARTMENT OF COMPUTER SCIENCE AND CENTER FOR APPLIED MATHEMATICS CORNELL UNIVERSITY,CORNELL UNIVERSITY
DEPARTMENT OF COMPUTER SCIENCE CORNELL UNIVERSITY,CORNELL UNIVERSITY
DEPARTMENT OF CONTROLLING VIENNA UNIVERSITY OF TECHNOLOGY,VIENNA UNIVERSITY OF TECHNOLOGY
DEPARTMENT OF COOPERATIVE ECONOMICS COMMERCE COLLEGE NATIONAL TAIPEI UNIVERSITY,NATIONAL TAIPEI UNIVERSITY
DEPARTMENT OF CORPORATE FINANCE SCHOOL OF BUSINESS STOCKHOLM UNIVERSITY,STOCKHOLM UNIVERSITY
DEPARTMENT OF ECONOMETRICS AND BUSINESS STATISTICS MONASH UNIVERSITY,MONASH UNIVERSITY
DEPARTMENT OF ECONOMETRICS AND OPERATIONS RESEARCH CENTER NETSPAR TILBURG UNIVERSITY,TILBURG UNIVERSITY
